Area,MTU,Solar - Actual Aggregated [MW] (D - 2),Solar - Actual Aggregated [MW] (D - 1),Solar - Actual Aggregated [MW] (D),Wind Offshore - Actual Aggregated [MW] (D - 2),Wind Offshore - Actual Aggregated [MW] (D - 1),Wind Offshore - Actual Aggregated [MW] (D),Wind Onshore - Actual Aggregated [MW] (D - 2),Wind Onshore - Actual Aggregated [MW] (D - 1),Wind Onshore - Actual Aggregated [MW] (D)
BZN|NL,02.09.2025 00:00 - 02.09.2025 00:15 (CET/CEST),0,0,0,2018,3695,4348,769,1411,1998
BZN|NL,02.09.2025 00:15 - 02.09.2025 00:30 (CET/CEST),0,0,0,1948,3743,4368,662,1397,1958
BZN|NL,02.09.2025 00:30 - 02.09.2025 00:45 (CET/CEST),0,0,0,2055,3862,4372,603,1395,1959
BZN|NL,02.09.2025 00:45 - 02.09.2025 01:00 (CET/CEST),0,0,0,2292,3837,4379,578,1404,1923
BZN|NL,02.09.2025 01:00 - 02.09.2025 01:15 (CET/CEST),0,0,0,2418,3725,4385,595,1409,1908
BZN|NL,02.09.2025 01:15 - 02.09.2025 01:30 (CET/CEST),0,0,0,2562,3666,4391,655,1363,1879
BZN|NL,02.09.2025 01:30 - 02.09.2025 01:45 (CET/CEST),0,0,0,2457,3730,4412,669,1352,1807
BZN|NL,02.09.2025 01:45 - 02.09.2025 02:00 (CET/CEST),0,0,0,2359,3823,4400,683,1354,1870
BZN|NL,02.09.2025 02:00 - 02.09.2025 02:15 (CET/CEST),0,0,0,2567,3880,4383,685,1384,1881
BZN|NL,02.09.2025 02:15 - 02.09.2025 02:30 (CET/CEST),0,0,0,2641,3926,4362,752,1416,1837
BZN|NL,02.09.2025 02:30 - 02.09.2025 02:45 (CET/CEST),0,0,0,2281,4099,4357,723,1422,1795
BZN|NL,02.09.2025 02:45 - 02.09.2025 03:00 (CET/CEST),0,0,0,2029,4171,4346,760,1379,1741
BZN|NL,02.09.2025 03:00 - 02.09.2025 03:15 (CET/CEST),0,0,0,1972,4213,4338,797,1374,1638
BZN|NL,02.09.2025 03:15 - 02.09.2025 03:30 (CET/CEST),0,0,0,2053,4239,4317,868,1356,1665
BZN|NL,02.09.2025 03:30 - 02.09.2025 03:45 (CET/CEST),0,0,0,2483,4274,4304,823,1334,1640
BZN|NL,02.09.2025 03:45 - 02.09.2025 04:00 (CET/CEST),0,0,0,2206,4262,4223,818,1402,1609
BZN|NL,02.09.2025 04:00 - 02.09.2025 04:15 (CET/CEST),0,0,0,1842,4284,4172,789,1455,1597
BZN|NL,02.09.2025 04:15 - 02.09.2025 04:30 (CET/CEST),0,0,0,1901,4344,4180,757,1432,1588
BZN|NL,02.09.2025 04:30 - 02.09.2025 04:45 (CET/CEST),0,0,0,1765,4359,4185,764,1458,1563
BZN|NL,02.09.2025 04:45 - 02.09.2025 05:00 (CET/CEST),0,0,0,1676,4356,4150,797,1472,1540
BZN|NL,02.09.2025 05:00 - 02.09.2025 05:15 (CET/CEST),0,0,0,1805,4339,4140,819,1509,1549
BZN|NL,02.09.2025 05:15 - 02.09.2025 05:30 (CET/CEST),0,0,0,1942,4308,4120,845,1520,1539
BZN|NL,02.09.2025 05:30 - 02.09.2025 05:45 (CET/CEST),0,0,0,2066,4312,4060,834,1533,1506
BZN|NL,02.09.2025 05:45 - 02.09.2025 06:00 (CET/CEST),0,0,0,2499,4372,4016,825,1549,1557
BZN|NL,02.09.2025 06:00 - 02.09.2025 06:15 (CET/CEST),0,0,0,2631,4359,3923,837,1553,1561
BZN|NL,02.09.2025 06:15 - 02.09.2025 06:30 (CET/CEST),0,0,0,2384,4429,3888,883,1575,1591
BZN|NL,02.09.2025 06:30 - 02.09.2025 06:45 (CET/CEST),0,0,0,2230,4423,3821,871,1606,1676
BZN|NL,02.09.2025 06:45 - 02.09.2025 07:00 (CET/CEST),1,0,1,2448,4435,3774,881,1621,1670
BZN|NL,02.09.2025 07:00 - 02.09.2025 07:15 (CET/CEST),7,4,5,2579,4386,3792,881,1612,1657
BZN|NL,02.09.2025 07:15 - 02.09.2025 07:30 (CET/CEST),16,12,11,2484,4443,3923,875,1607,1630
BZN|NL,02.09.2025 07:30 - 02.09.2025 07:45 (CET/CEST),31,21,20,2543,4447,3904,855,1600,1622
BZN|NL,02.09.2025 07:45 - 02.09.2025 08:00 (CET/CEST),40,23,33,2560,4455,3825,925,1639,1619
BZN|NL,02.09.2025 08:00 - 02.09.2025 08:15 (CET/CEST),41,32,48,2257,4439,3813,982,1712,1597
BZN|NL,02.09.2025 08:15 - 02.09.2025 08:30 (CET/CEST),46,50,66,2038,4431,3793,990,1771,1605
BZN|NL,02.09.2025 08:30 - 02.09.2025 08:45 (CET/CEST),76,43,83,2081,4433,3696,1005,1817,1614
BZN|NL,02.09.2025 08:45 - 02.09.2025 09:00 (CET/CEST),100,43,95,2128,4351,3544,1004,1824,1619
BZN|NL,02.09.2025 09:00 - 02.09.2025 09:15 (CET/CEST),137,48,113,2245,4252,3393,970,1879,1550
BZN|NL,02.09.2025 09:15 - 02.09.2025 09:30 (CET/CEST),127,103,130,2401,4279,3519,924,1935,1525
BZN|NL,02.09.2025 09:30 - 02.09.2025 09:45 (CET/CEST),168,90,143,2388,4282,3502,877,1951,1521
BZN|NL,02.09.2025 09:45 - 02.09.2025 10:00 (CET/CEST),192,85,158,2203,4288,3283,926,1985,1467
BZN|NL,02.09.2025 10:00 - 02.09.2025 10:15 (CET/CEST),175,94,174,2290,4203,3351,783,1914,1394
BZN|NL,02.09.2025 10:15 - 02.09.2025 10:30 (CET/CEST),155,98,188,2396,4242,3317,749,1922,1380
BZN|NL,02.09.2025 10:30 - 02.09.2025 10:45 (CET/CEST),176,103,211,2245,4262,3340,757,1919,1370
BZN|NL,02.09.2025 10:45 - 02.09.2025 11:00 (CET/CEST),185,72,212,2102,4198,3229,742,1923,1365
BZN|NL,02.09.2025 11:00 - 02.09.2025 11:15 (CET/CEST),245,77,247,2008,4231,3386,766,1962,1367
BZN|NL,02.09.2025 11:15 - 02.09.2025 11:30 (CET/CEST),253,102,273,1916,4249,3390,888,1958,1348
BZN|NL,02.09.2025 11:30 - 02.09.2025 11:45 (CET/CEST),247,92,271,1627,4173,3433,936,1935,1359
BZN|NL,02.09.2025 11:45 - 02.09.2025 12:00 (CET/CEST),266,85,287,1595,3851,3480,916,1946,1377
BZN|NL,02.09.2025 12:00 - 02.09.2025 12:15 (CET/CEST),290,93,283,1750,2554,2109,966,1971,1382
BZN|NL,02.09.2025 12:15 - 02.09.2025 12:30 (CET/CEST),288,101,284,1793,2504,1992,914,1984,1377
BZN|NL,02.09.2025 12:30 - 02.09.2025 12:45 (CET/CEST),242,81,282,1781,2413,1866,989,1855,1359
BZN|NL,02.09.2025 12:45 - 02.09.2025 13:00 (CET/CEST),296,101,280,1719,2405,1961,1034,1852,1381
BZN|NL,02.09.2025 13:00 - 02.09.2025 13:15 (CET/CEST),321,155,257,1068,2418,1871,1010,1830,1400
BZN|NL,02.09.2025 13:15 - 02.09.2025 13:30 (CET/CEST),289,190,221,1237,2375,2007,1029,1794,1444
BZN|NL,02.09.2025 13:30 - 02.09.2025 13:45 (CET/CEST),293,174,240,1214,2300,2065,1001,1811,1499
BZN|NL,02.09.2025 13:45 - 02.09.2025 14:00 (CET/CEST),309,143,228,1329,2103,2091,955,1907,1469
BZN|NL,02.09.2025 14:00 - 02.09.2025 14:15 (CET/CEST),273,220,227,2213,1973,3104,949,1869,1401
BZN|NL,02.09.2025 14:15 - 02.09.2025 14:30 (CET/CEST),254,227,224,2447,2137,3330,981,1910,1441
BZN|NL,02.09.2025 14:30 - 02.09.2025 14:45 (CET/CEST),251,135,207,2262,2178,3290,993,2020,1453
BZN|NL,02.09.2025 14:45 - 02.09.2025 15:00 (CET/CEST),208,93,190,2289,2298,3403,935,2111,1443
BZN|NL,02.09.2025 15:00 - 02.09.2025 15:15 (CET/CEST),245,153,205,2154,3365,3538,909,2038,1417
BZN|NL,02.09.2025 15:15 - 02.09.2025 15:30 (CET/CEST),260,216,174,2003,3495,3404,833,2028,1461
BZN|NL,02.09.2025 15:30 - 02.09.2025 15:45 (CET/CEST),207,209,179,2034,3434,3522,782,2101,1403
BZN|NL,02.09.2025 15:45 - 02.09.2025 16:00 (CET/CEST),175,236,183,2287,3656,3534,832,2127,1364
