Table 1
Tabel 3;;;;;;;;;;;;;
Aantal adressen en energieleveringen van bedrijven en instellingen naar verbruiksklasse en sector, 2023*;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;Adressen, aantal;;;Levering aardgas, 1000 m3;;;Levering elektriciteit, 1000 kWh;;;;
#;ETS/niet-ETS;Bedrijfstakken/branches SBI 2008;Middelgroot;Groot;Zeer groot;Middelgroot;Groot;Zeer groot;Middelgroot;Groot;Zeer groot;;
1;Inclusief ETS;A-U Alle economische activiteiten; 67 860; 27 185; 4 770; 629 200; 754 300;20 558 400;6 051 000;17 528 600;32 482 700;;
2;Inclusief ETS;A Landbouw, bosbouw en visserij; 10 390; 2 240; 1 635; 65 600; 86 500;2 928 000; 875 300;1 109 400;1 866 400;;
3;Inclusief ETS;B Delfstoffenwinning;  45;  40;  15;.;.;.;.;.;.;;
4;Inclusief ETS;C Industrie; 6 815; 4 805; 1 370;.; 140 200;9 349 400; 663 500;4 366 000;19 444 700;;
5;Inclusief ETS;D Energievoorziening;  485;  295;  185;.;.;.;.;.;.;;
6;Inclusief ETS;E Waterbedrijven en afvalbeheer;  235;  260;  55;.;.;.;.;.;.;;
7;Inclusief ETS;F Bouwnijverheid; 1 880;  465;  25;.;.;.;.;.;.;;
8;Inclusief ETS;G Handel; 15 560; 6 750;  130; 105 500;.;.;1 405 100;.;.;;
9;Inclusief ETS;H Vervoer en opslag; 1 885; 1 490;  175;.;.;.; 176 200;.;.;;
10;Inclusief ETS;I Horeca; 10 890; 2 300;  185; 94 100;.;.; 936 400;.;.;;
11;Inclusief ETS;J Informatie en communicatie;  490;  370;  50;.;.;.;.;.;.;;
12;Inclusief ETS;K Financiële dienstverlening; 1 530;  655;  20;.;.;.;.;.;.;;
13;Inclusief ETS;L Verhuur en handel van onroerend goed; 1 905;  905;  35;.;.;.;.;.;.;;
14;Inclusief ETS;M Specialistische zakelijke diensten; 2 270; 1 000;  55;.;.;.;.;.;.;;
15;Inclusief ETS;N Verhuur en overige zakelijke diensten;  740;  255;  20;.;.;.;.;.;.;;
16;Inclusief ETS;O Openbaar bestuur en overheidsdiensten; 1 820; 1 055;  130; 27 900;.;.;.;.;.;;
17;Inclusief ETS;P Onderwijs; 3 240; 1 225;  65;.;.;.; 284 800;.;.;;
18;Inclusief ETS;Q Gezondheids- en welzijnszorg; 4 030; 1 785;  415;.;.;.;.;.;.;;
19;Inclusief ETS;R Cultuur, sport en recreatie; 2 725; 1 035;  125; 30 900;.;.;.;.;.;;
20;Inclusief ETS;S Overige dienstverlening;  890;  240;  80; 12 200;.;.; 74 500;.;.;;
21;Inclusief ETS;U Extraterritoriale organisaties;  35;  10;  0;.;.;.;.;.;.;;
22;Exclusief ETS;A-U Alle economische activiteiten; 67 845; 27 140; 4 495; 629 000; 753 700;7 705 100;6 049 900;17 427 000;21 633 000;;
23;Exclusief ETS;A Landbouw, bosbouw en visserij; 10 390; 2 240; 1 630; 65 600; 86 500;.; 875 300;.;.;;
24;Exclusief ETS;B Delfstoffenwinning;  45;  40;  10;.;.;.;.;.;.;;
25;Exclusief ETS;C Industrie; 6 805; 4 775; 1 180;.; 139 900;1 893 500;.;4 315 600;10 958 400;;
26;Exclusief ETS;D Energievoorziening;  485;  290;  140;.;.;.;.;.;.;;
27;Exclusief ETS;E Waterbedrijven en afvalbeheer;  235;  260;  55;.;.;.;.;.;.;;
28;Exclusief ETS;F Bouwnijverheid; 1 880;  465;  25;.;.;.;.;.;.;;
29;Exclusief ETS;G Handel; 15 560; 6 750;  130; 105 500;.;.;1 405 100;.;.;;
30;Exclusief ETS;H Vervoer en opslag; 1 885; 1 485;  170;.;.;.; 176 200;.;.;;
31;Exclusief ETS;I Horeca; 10 890; 2 300;  185; 94 100;.;.; 936 400;.;.;;
32;Exclusief ETS;J Informatie en communicatie;  490;  370;  45;.;.;.;.;.;.;;
33;Exclusief ETS;K Financiële dienstverlening; 1 530;  655;  20;.;.;.;.;.;.;;
34;Exclusief ETS;L Verhuur en handel van onroerend goed; 1 905;  905;  35;.;.;.;.;.;.;;
35;Exclusief ETS;M Specialistische zakelijke diensten; 2 270; 1 000;  55;.;.;.;.;.;.;;
36;Exclusief ETS;N Verhuur en overige zakelijke diensten;  740;  255;  20;.;.;.;.;.;.;;
37;Exclusief ETS;O Openbaar bestuur en overheidsdiensten; 1 820; 1 055;  130; 27 900;.;.;.;.;.;;
38;Exclusief ETS;P Onderwijs; 3 240; 1 225;  65;.;.;.; 284 800;.;.;;
39;Exclusief ETS;Q Gezondheids- en welzijnszorg; 4 030; 1 785;  410;.;.;.;.;.;.;;
40;Exclusief ETS;R Cultuur, sport en recreatie; 2 725; 1 035;  125; 30 900;.;.;.;.;.;;
41;Exclusief ETS;S Overige dienstverlening;  890;  240;  80; 12 200;.;.; 74 500;.;.;;
42;Exclusief ETS;U Extraterritoriale organisaties;  35;  10;  0;.;.;.;.;.;.;;
