"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","20.01.2025 00:00 - 20.01.2025 00:15 (CET/CEST)","0","15","75"
"BZN|NL","20.01.2025 00:15 - 20.01.2025 00:30 (CET/CEST)","0","12","76"
"BZN|NL","20.01.2025 00:30 - 20.01.2025 00:45 (CET/CEST)","0","17","75"
"BZN|NL","20.01.2025 00:45 - 20.01.2025 01:00 (CET/CEST)","0","20","75"
"BZN|NL","20.01.2025 01:00 - 20.01.2025 01:15 (CET/CEST)","0","21","76"
"BZN|NL","20.01.2025 01:15 - 20.01.2025 01:30 (CET/CEST)","0","15","74"
"BZN|NL","20.01.2025 01:30 - 20.01.2025 01:45 (CET/CEST)","0","18","75"
"BZN|NL","20.01.2025 01:45 - 20.01.2025 02:00 (CET/CEST)","0","25","75"
"BZN|NL","20.01.2025 02:00 - 20.01.2025 02:15 (CET/CEST)","0","27","77"
"BZN|NL","20.01.2025 02:15 - 20.01.2025 02:30 (CET/CEST)","0","29","75"
"BZN|NL","20.01.2025 02:30 - 20.01.2025 02:45 (CET/CEST)","0","23","75"
"BZN|NL","20.01.2025 02:45 - 20.01.2025 03:00 (CET/CEST)","0","22","74"
"BZN|NL","20.01.2025 03:00 - 20.01.2025 03:15 (CET/CEST)","0","20","76"
"BZN|NL","20.01.2025 03:15 - 20.01.2025 03:30 (CET/CEST)","0","21","76"
"BZN|NL","20.01.2025 03:30 - 20.01.2025 03:45 (CET/CEST)","0","37","75"
"BZN|NL","20.01.2025 03:45 - 20.01.2025 04:00 (CET/CEST)","0","57","77"
"BZN|NL","20.01.2025 04:00 - 20.01.2025 04:15 (CET/CEST)","0","95","77"
"BZN|NL","20.01.2025 04:15 - 20.01.2025 04:30 (CET/CEST)","0","106","76"
"BZN|NL","20.01.2025 04:30 - 20.01.2025 04:45 (CET/CEST)","0","121","75"
"BZN|NL","20.01.2025 04:45 - 20.01.2025 05:00 (CET/CEST)","0","165","75"
"BZN|NL","20.01.2025 05:00 - 20.01.2025 05:15 (CET/CEST)","0","247","75"
"BZN|NL","20.01.2025 05:15 - 20.01.2025 05:30 (CET/CEST)","0","332","75"
"BZN|NL","20.01.2025 05:30 - 20.01.2025 05:45 (CET/CEST)","0","385","74"
"BZN|NL","20.01.2025 05:45 - 20.01.2025 06:00 (CET/CEST)","0","338","76"
"BZN|NL","20.01.2025 06:00 - 20.01.2025 06:15 (CET/CEST)","0","281","81"
"BZN|NL","20.01.2025 06:15 - 20.01.2025 06:30 (CET/CEST)","0","273","89"
"BZN|NL","20.01.2025 06:30 - 20.01.2025 06:45 (CET/CEST)","0","310","84"
"BZN|NL","20.01.2025 06:45 - 20.01.2025 07:00 (CET/CEST)","0","310","87"
"BZN|NL","20.01.2025 07:00 - 20.01.2025 07:15 (CET/CEST)","0","327","86"
"BZN|NL","20.01.2025 07:15 - 20.01.2025 07:30 (CET/CEST)","0","405","88"
"BZN|NL","20.01.2025 07:30 - 20.01.2025 07:45 (CET/CEST)","0","526","84"
"BZN|NL","20.01.2025 07:45 - 20.01.2025 08:00 (CET/CEST)","0","621","87"
"BZN|NL","20.01.2025 08:00 - 20.01.2025 08:15 (CET/CEST)","0","712","87"
"BZN|NL","20.01.2025 08:15 - 20.01.2025 08:30 (CET/CEST)","0","762","92"
"BZN|NL","20.01.2025 08:30 - 20.01.2025 08:45 (CET/CEST)","0","826","97"
"BZN|NL","20.01.2025 08:45 - 20.01.2025 09:00 (CET/CEST)","1","846","98"
"BZN|NL","20.01.2025 09:00 - 20.01.2025 09:15 (CET/CEST)","3","811","89"
"BZN|NL","20.01.2025 09:15 - 20.01.2025 09:30 (CET/CEST)","4","835","94"
"BZN|NL","20.01.2025 09:30 - 20.01.2025 09:45 (CET/CEST)","6","877","92"
"BZN|NL","20.01.2025 09:45 - 20.01.2025 10:00 (CET/CEST)","9","915","88"
"BZN|NL","20.01.2025 10:00 - 20.01.2025 10:15 (CET/CEST)","17","905","90"
"BZN|NL","20.01.2025 10:15 - 20.01.2025 10:30 (CET/CEST)","18","886","93"
"BZN|NL","20.01.2025 10:30 - 20.01.2025 10:45 (CET/CEST)","17","869","98"
"BZN|NL","20.01.2025 10:45 - 20.01.2025 11:00 (CET/CEST)","17","858","102"
